Year,Age 0-14,Age 15-59,Age 60-74,Age 75+
1998,4,831,3426,5792
1999,1,878,3353,5548
2000,2,772,3147,5217
2001,2,751,2971,5336
2002,1,917,3236,5612
2003,2,1026,3283,5739
2004,2,892,3198,5238
2005,5,888,3350,5421
2006,5,993,3200,5710
2007,5,925,3360,5397
2008,7,935,3892,6167
2009,1,976,3591,5832
2010,2,868,3558,6140
2011,2,864,3417,5878
2012,1,846,3328,6153
2013,1,955,3447,5966
2014,4,1035,3607,6370
2015,7,1154,4067,6539
2016,4,1169,4083,6771
2017,2,1217,4430,6973
2018,1,1360,4835,7100
