Year,Age 0-14,Age 15-59,Age 60-74,Age 75+
1998,1,191,2101,7421
1999,0,174,1889,6729
2000,1,159,1621,5887
2001,0,174,1599,6541
2002,1,180,1682,6316
2003,2,142,1831,6253
2004,0,155,1499,6249
2005,1,170,1508,6317
2006,2,159,1455,5970
2007,1,153,1400,6052
2008,0,148,1470,6344
2009,0,145,1534,6867
2010,0,146,1521,7096
2011,0,111,1682,7287
2012,3,126,1537,6605
2013,2,126,1510,6812
2014,1,107,1529,7725
2015,4,131,1728,8461
2016,0,151,1756,8631
2017,1,135,1766,9267
2018,4,136,1677,9228
