UniprotID,No. Partners
ACHA2_HUMAN,0
ACHA3_HUMAN,27
ACHA4_HUMAN,3
ACHA5_HUMAN,0
ACHA6_HUMAN,0
ACHA7_HUMAN,2
ACHA9_HUMAN,71
ACHB_HUMAN,0
ACHB2_HUMAN,0
ACHB3_HUMAN,3
ACHB4_HUMAN,1
ACHD_HUMAN,55
ACHE_HUMAN,1
ACHG_HUMAN,18
ACINU_HUMAN,47
ACK1_HUMAN,61
ACKMT_HUMAN,0
ACKR1_HUMAN,0
ACKR2_HUMAN,16
ACKR3_HUMAN,8
ACKR4_HUMAN,5
ACL10_HUMAN,0
ACL6A_HUMAN,79
ACL6B_HUMAN,3
ACL7A_HUMAN,2
ACL7B_HUMAN,1
ACLY_HUMAN,29
ACM1_HUMAN,3
ACM2_HUMAN,3
ACM3_HUMAN,50
ACM4_HUMAN,57
ACM5_HUMAN,1
ACMSD_HUMAN,3
ACO11_HUMAN,4
ACO12_HUMAN,8
ACO13_HUMAN,18
ACOC_HUMAN,6
ACOD_HUMAN,37
ACON_HUMAN,112
ACOT1_HUMAN,5
ACOT2_HUMAN,2
ACOT4_HUMAN,0
ACOT6_HUMAN,2
ACOT8_HUMAN,6
ACOT9_HUMAN,0
ACOX1_HUMAN,19
ACOX2_HUMAN,2
ACOX3_HUMAN,4
ACOXL_HUMAN,0
ACP7_HUMAN,3
ACPH_HUMAN,21
ACPM_HUMAN,86
ACRBP_HUMAN,0
ACRC_HUMAN,1
ACRO_HUMAN,12
ACS2A_HUMAN,0
ACS2B_HUMAN,1
ACS2L_HUMAN,0
ACSA_HUMAN,4
ACSF2_HUMAN,10
ACSF3_HUMAN,2
ACSF4_HUMAN,0
ACSL1_HUMAN,2
ACSL3_HUMAN,6
ACSL4_HUMAN,12
ACSL5_HUMAN,0
ACSL6_HUMAN,3
ACSM1_HUMAN,1
ACSM3_HUMAN,1
ACSM4_HUMAN,0
ACSM5_HUMAN,15
ACSM6_HUMAN,0
ACSS3_HUMAN,1
ACTA_HUMAN,32
ACTB_HUMAN,269
ACTBL_HUMAN,28
ACTBM_HUMAN,2
ACTC_HUMAN,516
ACTG_HUMAN,36
ACTH_HUMAN,1
ACTHR_HUMAN,2
ACTL8_HUMAN,0
ACTL9_HUMAN,1
ACTN1_HUMAN,63
ACTN2_HUMAN,60
ACTN3_HUMAN,15
ACTN4_HUMAN,43
ACTS_HUMAN,36
ACTT1_HUMAN,0
ACTT2_HUMAN,0
ACTT3_HUMAN,0
ACTY_HUMAN,40
ACTZ_HUMAN,21
ACV1B_HUMAN,20
ACV1C_HUMAN,0
ACVL1_HUMAN,20
ACVR1_HUMAN,70
ACY1_HUMAN,14
ACY2_HUMAN,7
ACY3_HUMAN,13
ACYP1_HUMAN,1
ACYP2_HUMAN,2
ADA_HUMAN,25
ADA10_HUMAN,7
ADA11_HUMAN,1
ADA12_HUMAN,27
ADA15_HUMAN,29
ADA17_HUMAN,7
ADA18_HUMAN,0
ADA19_HUMAN,2
ADA1A_HUMAN,3
ADA1B_HUMAN,2
ADA1D_HUMAN,13
ADA2_HUMAN,1
ADA20_HUMAN,0
ADA21_HUMAN,29
ADA22_HUMAN,5
ADA23_HUMAN,0
ADA28_HUMAN,1
ADA29_HUMAN,0
ADA2A_HUMAN,7
ADA2B_HUMAN,6
ADA2C_HUMAN,5
ADA30_HUMAN,11
ADA32_HUMAN,21
ADA33_HUMAN,54
ADAD1_HUMAN,0
ADAD2_HUMAN,1
ADAL_HUMAN,0
ADAM2_HUMAN,8
ADAM5_HUMAN,0
ADAM7_HUMAN,0
ADAM8_HUMAN,0
ADAM9_HUMAN,4
ADAP1_HUMAN,15
ADAP2_HUMAN,7
ADAS_HUMAN,63
ADAS1_HUMAN,0
ADAT1_HUMAN,0
ADAT2_HUMAN,9
ADAT3_HUMAN,1
ADCK1_HUMAN,15
ADCK2_HUMAN,8
ADCK5_HUMAN,10
ADCL2_HUMAN,0
ADCL3_HUMAN,0
ADCL4_HUMAN,0
ADCY1_HUMAN,1
ADCY2_HUMAN,3
ADCY3_HUMAN,0
ADCY4_HUMAN,3
