Threshold, n_features, performance_score
Thresh=0.0095, n=5, Recall: 0.281
Thresh=0.0095, n=5, F1 score: 0.130
Thresh=0.0095, n=5, AUROC score: 0.616
Thresh=0.0096, n=3, Accuracy: 0.975
Thresh=0.0096, n=3, Precision: 0.179
Thresh=0.0096, n=3, Recall: 0.156
Thresh=0.0096, n=3, F1 score: 0.167
Thresh=0.0096, n=3, AUROC score: 0.572
Thresh=0.0124, n=3, Accuracy: 0.975
Thresh=0.0124, n=3, Precision: 0.179
Thresh=0.0124, n=3, Recall: 0.156
Thresh=0.0124, n=3, F1 score: 0.167
Thresh=0.0124, n=3, AUROC score: 0.572
Thresh=0.0129, n=2, Accuracy: 0.982
Thresh=0.0129, n=2, Precision: 0.308
Thresh=0.0129, n=2, Recall: 0.125
Thresh=0.0129, n=2, F1 score: 0.178
Thresh=0.0129, n=2, AUROC score: 0.560
Thresh=0.0162, n=1, Accuracy: 0.981
Thresh=0.0162, n=1, Precision: 0.250
Thresh=0.0162, n=1, Recall: 0.094
Thresh=0.0162, n=1, F1 score: 0.136
Thresh=0.0162, n=1, AUROC score: 0.545
Thresh=0.0000, n=2086, Accuracy: 0.843
Thresh=0.0000, n=2086, Precision: 0.077
Thresh=0.0000, n=2086, Recall: 0.812
Thresh=0.0000, n=2086, F1 score: 0.140
Thresh=0.0000, n=2086, AUROC score: 0.828
Thresh=0.0001, n=511, Accuracy: 0.850
Thresh=0.0001, n=511, Precision: 0.083
Thresh=0.0001, n=511, Recall: 0.844
Thresh=0.0001, n=511, F1 score: 0.150
Thresh=0.0001, n=511, AUROC score: 0.847
Thresh=0.0002, n=507, Accuracy: 0.857
Thresh=0.0002, n=507, Precision: 0.091
Thresh=0.0002, n=507, Recall: 0.906
Thresh=0.0002, n=507, F1 score: 0.166
Thresh=0.0002, n=507, AUROC score: 0.881
Thresh=0.0003, n=495, Accuracy: 0.853
Thresh=0.0003, n=495, Precision: 0.086
Thresh=0.0003, n=495, Recall: 0.875
Thresh=0.0003, n=495, F1 score: 0.157
Thresh=0.0003, n=495, AUROC score: 0.864
Thresh=0.0004, n=481, Accuracy: 0.867
Thresh=0.0004, n=481, Precision: 0.098
Thresh=0.0004, n=481, Recall: 0.906
Thresh=0.0004, n=481, F1 score: 0.177
Thresh=0.0004, n=481, AUROC score: 0.887
Thresh=0.0005, n=448, Accuracy: 0.864
Thresh=0.0005, n=448, Precision: 0.093
Thresh=0.0005, n=448, Recall: 0.875
