UniprotID
1433Z_HUMAN
8ODP_HUMAN
A2MG_HUMAN
A4_HUMAN
ABL1_HUMAN
ADCY5_HUMAN
AGTR1_HUMAN
AIFM1_HUMAN
AKT1_HUMAN
AN32B_HUMAN
ANDR_HUMAN
AP2A_HUMAN
APEX1_HUMAN
APOC3_HUMAN
APOE_HUMAN
APTX_HUMAN
ATF2_HUMAN
ATM_HUMAN
ATPO_HUMAN
ATR_HUMAN
BAK_HUMAN
BAX_HUMAN
BCL2_HUMAN
BDNF_HUMAN
BLM_HUMAN
BMAL1_HUMAN
BMI1_HUMAN
BRCA1_HUMAN
BRCA2_HUMAN
BSCL2_HUMAN
BUB1B_HUMAN
BUB3_HUMAN
C1QA_HUMAN
C560_HUMAN
CAC1A_HUMAN
CATA_HUMAN
CBP_HUMAN
CC14B_HUMAN
CCN2_HUMAN
CCNA2_HUMAN
CDC42_HUMAN
CDK1_HUMAN
CDK7_HUMAN
CDN1A_HUMAN
CDN2A_HUMAN
CDN2B_HUMAN
CEBPA_HUMAN
CEBPB_HUMAN
CETP_HUMAN
CH60_HUMAN
CHIP_HUMAN
CHK2_HUMAN
CISD2_HUMAN
CLOCK_HUMAN
CLUS_HUMAN
CNR1_HUMAN
COQ7_HUMAN
COX1_HUMAN
CREB1_HUMAN
CTF1_HUMAN
CTNB1_HUMAN
DDIT3_HUMAN
DGAT1_HUMAN
DLL3_HUMAN
DPOD1_HUMAN
DPOG1_HUMAN
DPOLA_HUMAN
DPOLB_HUMAN
DREB_HUMAN
E2F1_HUMAN
EF1A1_HUMAN
EF2_HUMAN
EGF_HUMAN
EGFR_HUMAN
EGR1_HUMAN
ELN_HUMAN
EMD_HUMAN
EP300_HUMAN
EPOR_HUMAN
ERBB2_HUMAN
ERCC1_HUMAN
ERCC2_HUMAN
ERCC3_HUMAN
ERCC5_HUMAN
ERCC6_HUMAN
ERCC8_HUMAN
ES8L2_HUMAN
ESR1_HUMAN
FACE1_HUMAN
FAK1_HUMAN
FAK2_HUMAN
FBLN3_HUMAN
FEN1_HUMAN
FGF21_HUMAN
FGF23_HUMAN
FGFR1_HUMAN
FOS_HUMAN
FOXM1_HUMAN
FOXO1_HUMAN
FOXO3_HUMAN
FOXO4_HUMAN
FOXP3_HUMAN
FSHR_HUMAN
GCR_HUMAN
GDF11_HUMAN
GHR_HUMAN
GHRHR_HUMAN
GPX1_HUMAN
GPX4_HUMAN
